,No,Year,Material,Type,Coat,Surface_Charge,Diameter (nm),Cell_Type,Human_Animal,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Cell_Viability (%),DOI
202,203,2010,Au,I,None,Positive,2,BEC,H,Adult,P,24,-,24.611,10.1021/nl101140t
203,204,2010,Au,I,None,Positive,2,ASM,H,Adult,P,24,-,30.218,10.1021/nl101140t
204,205,2010,Au,I,None,Positive,2,BEC,H,Adult,P,24,-,21.028,10.1021/nl101140t
205,206,2010,Au,I,None,Positive,2,ASM,H,Adult,P,24,-,19.938,10.1021/nl101140t
236,237,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,10,84,10.1016/j.colsurfb.2014.06.064
237,238,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,25,72,10.1016/j.colsurfb.2014.06.064
238,239,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,50,56,10.1016/j.colsurfb.2014.06.064
239,240,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,10,87,10.1016/j.colsurfb.2014.06.064
240,241,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,25,79,10.1016/j.colsurfb.2014.06.064
241,242,2014,IronOxide,I,None,unknown,22,A549,H,Adult,L,24,50,65,10.1016/j.colsurfb.2014.06.064
288,289,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,96.951,10.1002/ppsc.201300357
289,290,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,95.654,10.1002/ppsc.201300357
290,291,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,94.214,10.1002/ppsc.201300357
291,292,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,92.053,10.1002/ppsc.201300357
292,293,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,94.934,10.1002/ppsc.201300357
293,294,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,84.706,10.1002/ppsc.201300357
294,295,2014,Au,I,PEG,Negative,4.6,PC12,A,Adult,L,24,-,77.647,10.1002/ppsc.201300357
295,296,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,94.934,10.1002/ppsc.201300357
296,297,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,96.807,10.1002/ppsc.201300357
297,298,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,94.646,10.1002/ppsc.201300357
298,299,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,91.909,10.1002/ppsc.201300357
299,300,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,86.002,10.1002/ppsc.201300357
300,301,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,72.029,10.1002/ppsc.201300357
301,302,2014,Au,I,PEG,Negative,4.6,HUVEC,H,Embryonic,P,24,-,53.733,10.1002/ppsc.201300357
302,303,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,91.477,10.1002/ppsc.201300357
303,304,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,93.637,10.1002/ppsc.201300357
304,305,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,95.51,10.1002/ppsc.201300357
305,306,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,92.341,10.1002/ppsc.201300357
306,307,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,88.739,10.1002/ppsc.201300357
307,308,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,82.545,10.1002/ppsc.201300357
308,309,2014,Au,I,PEG,Negative,4.6,C17.2,A,Adult,L,24,-,71.597,10.1002/ppsc.201300357
586,587,2020,Au,I,None,unknown,38,MG-63,H,Adult,L,24,0.2,98.827,10.1016/j.jphotobiol.2020.111778
587,588,2020,Au,I,None,unknown,38,MG-63,H,Adult,L,24,0.4,91.134,10.1016/j.jphotobiol.2020.111778
588,589,2020,Au,I,None,unknown,38,MG-63,H,Adult,L,24,0.8,79.531,10.1016/j.jphotobiol.2020.111778
589,590,2020,Au,I,None,unknown,46,MG-63,H,Adult,L,24,0.2,91.134,10.1016/j.jphotobiol.2020.111778
590,591,2020,Au,I,None,unknown,46,MG-63,H,Adult,L,24,0.4,87.223,10.1016/j.jphotobiol.2020.111778
591,592,2020,Au,I,None,unknown,46,MG-63,H,Adult,L,24,0.8,47.849,10.1016/j.jphotobiol.2020.111778
592,593,2020,Au,I,None,unknown,60,MG-63,H,Adult,L,24,0.2,91.134,10.1016/j.jphotobiol.2020.111778
593,594,2020,Au,I,None,unknown,60,MG-63,H,Adult,L,24,0.4,87.353,10.1016/j.jphotobiol.2020.111778
594,595,2020,Au,I,None,unknown,60,MG-63,H,Adult,L,24,0.8,56.845,10.1016/j.jphotobiol.2020.111778
611,612,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,0.5,88.907,10.1016/j.nano.2014.01.006
612,613,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,1,89.723,10.1016/j.nano.2014.01.006
613,614,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,5,93.312,10.1016/j.nano.2014.01.006
614,615,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,10,91.517,10.1016/j.nano.2014.01.006
615,616,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,50,80.914,10.1016/j.nano.2014.01.006
616,617,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,24,100,74.388,10.1016/j.nano.2014.01.006
617,618,2014,IronOxide,I,PEG-FA,-,-,SKOV-3,H,Adult,L,24,0.5,88.699,10.1016/j.nano.2014.01.006
618,619,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,1,87.158,10.1016/j.nano.2014.01.006
619,620,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,5,86.473,10.1016/j.nano.2014.01.006
620,621,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,10,90.925,10.1016/j.nano.2014.01.006
621,622,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,50,88.014,10.1016/j.nano.2014.01.006
622,623,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,100,85.616,10.1016/j.nano.2014.01.006
623,624,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,0.5,87.873,10.1016/j.nano.2014.01.006
624,625,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,1,86.455,10.1016/j.nano.2014.01.006
625,626,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,5,83.445,10.1016/j.nano.2014.01.006
626,627,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,10,91.639,10.1016/j.nano.2014.01.006
627,628,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,50,85.786,10.1016/j.nano.2014.01.006
628,629,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,100,84.114,10.1016/j.nano.2014.01.006
629,630,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,0.5,105.22,10.1016/j.nano.2014.01.006
630,631,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,1,96.9,10.1016/j.nano.2014.01.006
631,632,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,5,94.29,10.1016/j.nano.2014.01.006
632,633,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,10,89.886,10.1016/j.nano.2014.01.006
633,634,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,50,86.949,10.1016/j.nano.2014.01.006
634,635,2014,IronOxide,I,PEG,unknown,18.4,SKOV-3,H,Adult,L,48,100,82.545,10.1016/j.nano.2014.01.006
635,636,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,0.5,98.288,10.1016/j.nano.2014.01.006
636,637,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,1,99.144,10.1016/j.nano.2014.01.006
637,638,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,5,93.151,10.1016/j.nano.2014.01.006
638,639,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,10,92.979,10.1016/j.nano.2014.01.006
639,640,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,50,88.87,10.1016/j.nano.2014.01.006
640,641,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,48,100,86.473,10.1016/j.nano.2014.01.006
641,642,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,0.5,93.144,10.1016/j.nano.2014.01.006
642,643,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,1,87.793,10.1016/j.nano.2014.01.006
643,644,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,5,88.629,10.1016/j.nano.2014.01.006
644,645,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,10,90.301,10.1016/j.nano.2014.01.006
645,646,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,50,85.786,10.1016/j.nano.2014.01.006
646,647,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,48,100,83.445,10.1016/j.nano.2014.01.006
647,648,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,0.5,96.743,10.1016/j.nano.2014.01.006
648,649,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,1,83.225,10.1016/j.nano.2014.01.006
649,650,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,5,82.573,10.1016/j.nano.2014.01.006
650,651,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,10,80.945,10.1016/j.nano.2014.01.006
651,652,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,50,80.945,10.1016/j.nano.2014.01.006
652,653,2014,IronOxide,I,PEG-FA,Negative,-,SKOV-3,H,Adult,L,24,100,79.316,10.1016/j.nano.2014.01.006
653,654,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,0.5,96.743,10.1016/j.nano.2014.01.006
654,655,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,1,82.573,10.1016/j.nano.2014.01.006
655,656,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,5,76.873,10.1016/j.nano.2014.01.006
656,657,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,10,76.873,10.1016/j.nano.2014.01.006
657,658,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,50,91.205,10.1016/j.nano.2014.01.006
658,659,2014,IronOxide,I,Silica-FA,Negative,-,SKOV-3,H,Adult,L,24,100,91.205,10.1016/j.nano.2014.01.006
659,660,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,0.036,80.385,10.1016/j.jhazmat.2013.11.031
660,661,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,0.072,72.957,10.1016/j.jhazmat.2013.11.031
661,662,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,0.18,56.616,10.1016/j.jhazmat.2013.11.031
662,663,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,0.36,49.684,10.1016/j.jhazmat.2013.11.031
663,664,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,0.72,42.256,10.1016/j.jhazmat.2013.11.031
664,665,2014,Au,I,None,unknown,-,NIH3T3,A,Embryonic,L,72,1,42.586,10.1016/j.jhazmat.2013.11.031
665,666,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,0.036,108.98,10.1016/j.jhazmat.2013.11.031
666,667,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,0.072,106.23,10.1016/j.jhazmat.2013.11.031
667,668,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,0.18,102.5,10.1016/j.jhazmat.2013.11.031
668,669,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,0.36,90.126,10.1016/j.jhazmat.2013.11.031
669,670,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,0.72,63.619,10.1016/j.jhazmat.2013.11.031
670,671,2014,Au,I,None,unknown,-,PK-15,A,Adult,L,72,1,47.518,10.1016/j.jhazmat.2013.11.031
671,672,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,0.036,101.35,10.1016/j.jhazmat.2013.11.031
672,673,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,0.072,91.689,10.1016/j.jhazmat.2013.11.031
673,674,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,0.18,67.636,10.1016/j.jhazmat.2013.11.031
674,675,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,0.36,41.527,10.1016/j.jhazmat.2013.11.031
675,676,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,0.72,27.959,10.1016/j.jhazmat.2013.11.031
676,677,2014,Au,I,None,unknown,-,VERO,A,Adult,L,72,1,28.37,10.1016/j.jhazmat.2013.11.031
918,919,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,24,5,96.2,10.1177/1091581813487563
919,920,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,24,10,86.01,10.1177/1091581813487563
920,921,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,24,20,70,10.1177/1091581813487563
921,922,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,24,30,49.7,10.1177/1091581813487563
922,923,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,48,5,92.96,10.1177/1091581813487563
923,924,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,48,10,79.9,10.1177/1091581813487563
924,925,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,48,20,58.43,10.1177/1091581813487563
925,926,2013,CuO,I,None,Negative,55.8,HaCat,H,Adult,L,48,30,30.4,10.1177/1091581813487563
980,981,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,24,1,98.604,10.1080/17458080.2015.1014934
981,982,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,24,5,81.98,10.1080/17458080.2015.1014934
982,983,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,24,10,77.919,10.1080/17458080.2015.1014934
983,984,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,24,15,68.655,10.1080/17458080.2015.1014934
984,985,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,24,25,6.599,10.1080/17458080.2015.1014934
985,986,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,24,1,98.858,10.1080/17458080.2015.1014934
986,987,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,24,5,84.264,10.1080/17458080.2015.1014934
987,988,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,24,10,80.457,10.1080/17458080.2015.1014934
988,989,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,24,15,68.782,10.1080/17458080.2015.1014934
989,990,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,24,25,7.2335,10.1080/17458080.2015.1014934
990,991,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,24,1,99.629,10.1080/17458080.2015.1014934
991,992,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,24,5,90.853,10.1080/17458080.2015.1014934
992,993,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,24,10,87.639,10.1080/17458080.2015.1014934
993,994,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,24,15,72.93,10.1080/17458080.2015.1014934
994,995,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,24,25,19.778,10.1080/17458080.2015.1014934
995,996,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,48,1,96.701,10.1080/17458080.2015.1014934
996,997,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,48,5,80.584,10.1080/17458080.2015.1014934
997,998,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,48,10,77.284,10.1080/17458080.2015.1014934
998,999,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,48,15,67.386,10.1080/17458080.2015.1014934
999,1000,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,48,25,5.7107,10.1080/17458080.2015.1014934
1000,1001,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,48,1,97.462,10.1080/17458080.2015.1014934
1001,1002,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,48,5,83.122,10.1080/17458080.2015.1014934
1002,1003,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,48,10,77.284,10.1080/17458080.2015.1014934
1003,1004,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,48,15,68.401,10.1080/17458080.2015.1014934
1004,1005,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,48,25,7.1066,10.1080/17458080.2015.1014934
1005,1006,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,48,1,99.135,10.1080/17458080.2015.1014934
1006,1007,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,48,5,85.909,10.1080/17458080.2015.1014934
1007,1008,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,48,10,81.459,10.1080/17458080.2015.1014934
1008,1009,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,48,15,71.199,10.1080/17458080.2015.1014934
1009,1010,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,48,25,13.226,10.1080/17458080.2015.1014934
1010,1011,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,72,1,96.193,10.1080/17458080.2015.1014934
1011,1012,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,72,5,80.584,10.1080/17458080.2015.1014934
1012,1013,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,72,10,74.112,10.1080/17458080.2015.1014934
1013,1014,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,72,15,65.609,10.1080/17458080.2015.1014934
1014,1015,2015,Au,I,None,unknown,30,NHDF,H,Adult,L,72,25,5.4569,10.1080/17458080.2015.1014934
1015,1016,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,72,1,96.701,10.1080/17458080.2015.1014934
1016,1017,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,72,5,82.487,10.1080/17458080.2015.1014934
1017,1018,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,72,10,77.03,10.1080/17458080.2015.1014934
1018,1019,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,72,15,66.117,10.1080/17458080.2015.1014934
1019,1020,2015,Au,I,None,unknown,50,NHDF,H,Adult,L,72,25,7.1066,10.1080/17458080.2015.1014934
1020,1021,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,72,1,97.775,10.1080/17458080.2015.1014934
1021,1022,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,72,5,84.92,10.1080/17458080.2015.1014934
1022,1023,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,72,10,81.459,10.1080/17458080.2015.1014934
1023,1024,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,72,15,68.356,10.1080/17458080.2015.1014934
1024,1025,2015,Au,I,None,unknown,90,NHDF,H,Adult,L,72,25,13.226,10.1080/17458080.2015.1014934
1025,1026,2019,Au,I,Chitosan,Positive,8.7,AGS,H,Adult,L,24,-,79.57,10.1186/s11671-019-2967-1
1026,1027,2019,Au,I,Chitosan,Positive,8.7,AGS,H,Adult,L,24,-,80.645,10.1186/s11671-019-2967-1
1027,1028,2019,Au,I,Chitosan,Positive,8.7,AGS,H,Adult,L,24,-,82.437,10.1186/s11671-019-2967-1
1028,1029,2019,Au,I,Chitosan,Positive,8.7,AGS,H,Adult,L,24,-,82.079,10.1186/s11671-019-2967-1
1029,1030,2019,Au,I,Chitosan,Positive,8.7,AGS,H,Adult,L,24,-,70.968,10.1186/s11671-019-2967-1
1030,1031,2019,Au,I,Chitosan,Positive,99,AGS,H,Adult,L,24,-,88.53,10.1186/s11671-019-2967-1
1031,1032,2019,Au,I,Chitosan,Positive,99,AGS,H,Adult,L,24,-,89.068,10.1186/s11671-019-2967-1
1032,1033,2019,Au,I,Chitosan,Positive,99,AGS,H,Adult,L,24,-,85.484,10.1186/s11671-019-2967-1
1033,1034,2019,Au,I,Chitosan,Positive,99,AGS,H,Adult,L,24,-,78.495,10.1186/s11671-019-2967-1
1034,1035,2019,Au,I,Chitosan,Positive,99,AGS,H,Adult,L,24,-,48.746,10.1186/s11671-019-2967-1
1035,1036,2019,Au,I,Chitosan,Positive,-,AGS,H,Adult,L,24,-,17.921,10.1186/s11671-019-2967-1
1036,1037,2019,Au,I,Chitosan,Positive,-,AGS,H,Adult,L,24,-,19.176,10.1186/s11671-019-2967-1
1037,1038,2019,Au,I,Chitosan,Positive,-,AGS,H,Adult,L,24,-,19.534,10.1186/s11671-019-2967-1
1038,1039,2019,Au,I,Chitosan,Positive,-,AGS,H,Adult,L,24,-,21.326,10.1186/s11671-019-2967-1
1039,1040,2019,Au,I,Chitosan,Positive,-,AGS,H,Adult,L,24,-,3.7634,10.1186/s11671-019-2967-1
1040,1041,2019,Au,I,Chitosan,Positive,8.7,HeLa,H,Adult,L,24,-,107.26,10.1186/s11671-019-2967-1
1041,1042,2019,Au,I,Chitosan,Positive,8.7,HeLa,H,Adult,L,24,-,101.59,10.1186/s11671-019-2967-1
1042,1043,2019,Au,I,Chitosan,Positive,8.7,HeLa,H,Adult,L,24,-,98.761,10.1186/s11671-019-2967-1
1043,1044,2019,Au,I,Chitosan,Positive,8.7,HeLa,H,Adult,L,24,-,85.664,10.1186/s11671-019-2967-1
1044,1045,2019,Au,I,Chitosan,Positive,8.7,HeLa,H,Adult,L,24,-,67.257,10.1186/s11671-019-2967-1
1045,1046,2019,Au,I,Chitosan,Positive,99,HeLa,H,Adult,L,24,-,84.779,10.1186/s11671-019-2967-1
1046,1047,2019,Au,I,Chitosan,Positive,99,HeLa,H,Adult,L,24,-,83.54,10.1186/s11671-019-2967-1
1047,1048,2019,Au,I,Chitosan,Positive,99,HeLa,H,Adult,L,24,-,76.637,10.1186/s11671-019-2967-1
1048,1049,2019,Au,I,Chitosan,Positive,99,HeLa,H,Adult,L,24,-,60.885,10.1186/s11671-019-2967-1
1049,1050,2019,Au,I,Chitosan,Positive,99,HeLa,H,Adult,L,24,-,34.69,10.1186/s11671-019-2967-1
1050,1051,2019,Au,I,Chitosan,Positive,-,HeLa,H,Adult,L,24,-,5.4867,10.1186/s11671-019-2967-1
1051,1052,2019,Au,I,Chitosan,Positive,-,HeLa,H,Adult,L,24,-,5.4867,10.1186/s11671-019-2967-1
1052,1053,2019,Au,I,Chitosan,Positive,-,HeLa,H,Adult,L,24,-,5.4867,10.1186/s11671-019-2967-1
1053,1054,2019,Au,I,Chitosan,Positive,-,HeLa,H,Adult,L,24,-,4.2478,10.1186/s11671-019-2967-1
1054,1055,2019,Au,I,Chitosan,Positive,-,HeLa,H,Adult,L,24,-,4.2478,10.1186/s11671-019-2967-1
1055,1056,2019,Au,I,Chitosan,Positive,8.7,HepG2,H,Adult,L,24,-,71.45,10.1186/s11671-019-2967-1
1056,1057,2019,Au,I,Chitosan,Positive,8.7,HepG2,H,Adult,L,24,-,63.976,10.1186/s11671-019-2967-1
1057,1058,2019,Au,I,Chitosan,Positive,8.7,HepG2,H,Adult,L,24,-,50.673,10.1186/s11671-019-2967-1
1058,1059,2019,Au,I,Chitosan,Positive,8.7,HepG2,H,Adult,L,24,-,46.637,10.1186/s11671-019-2967-1
1059,1060,2019,Au,I,Chitosan,Positive,8.7,HepG2,H,Adult,L,24,-,36.921,10.1186/s11671-019-2967-1
1060,1061,2019,Au,I,Chitosan,Positive,99,HepG2,H,Adult,L,24,-,60.538,10.1186/s11671-019-2967-1
1061,1062,2019,Au,I,Chitosan,Positive,99,HepG2,H,Adult,L,24,-,59.791,10.1186/s11671-019-2967-1
1062,1063,2019,Au,I,Chitosan,Positive,99,HepG2,H,Adult,L,24,-,31.54,10.1186/s11671-019-2967-1
1063,1064,2019,Au,I,Chitosan,Positive,99,HepG2,H,Adult,L,24,-,1.9432,10.1186/s11671-019-2967-1
1064,1065,2019,Au,I,Chitosan,Positive,99,HepG2,H,Adult,L,24,-,3.5874,10.1186/s11671-019-2967-1
1065,1066,2019,Au,I,Chitosan,Positive,-,HepG2,H,Adult,L,24,-,4.6338,10.1186/s11671-019-2967-1
