,Material,Type,Coat,Diameter (nm),Concentration (ug/ml),Surface_Charge,Cell_Type,Cell Line_Primary Cell,Human_Animal,Cell_Age,Time (hr),Cell_Viability (%)
160,Iron oxide,I,Silica-FA,1.2691483887884287,0.0,Negative,SKOV-3,L,H,A,24,1.4847094317983849
161,Iron oxide,I,Silica-FA,1.2691483887884287,1.6094379124341003,Negative,SKOV-3,L,H,A,24,1.4683707017582497
162,Iron oxide,I,Silica-FA,1.2691483887884287,2.302585092994046,Negative,SKOV-3,L,H,A,24,1.4683707017582497
163,Iron oxide,I,Silica-FA,1.2691483887884287,3.912023005428146,Negative,SKOV-3,L,H,A,24,1.506986432567696
164,Iron oxide,I,Silica-FA,1.2691483887884287,4.605170185988092,Negative,SKOV-3,L,H,A,24,1.506986432567696
165,Au,I,None,1.2691483887884287,0.0,unknown,NIH3T3,L,A,E,72,1.3221625734588318
166,Au,I,None,1.2691483887884287,0.0,unknown,PK-15,L,A,A,72,1.3509543408510405
168,CuO,I,None,1.3917230663455145,1.6094379124341003,Negative,HaCat,L,H,A,24,1.5187315773423586
169,CuO,I,None,1.3917230663455145,2.302585092994046,Negative,HaCat,L,H,A,24,1.493906642575892
170,CuO,I,None,1.3917230663455145,2.995732273553991,Negative,HaCat,L,H,A,24,1.4465648595477707
171,CuO,I,None,1.3917230663455145,3.4011973816621555,Negative,HaCat,L,H,A,24,1.3625150954087801
172,CuO,I,None,1.3917230663455145,1.6094379124341003,Negative,HaCat,L,H,A,48,1.5112006975218284
173,CuO,I,None,1.3917230663455145,2.302585092994046,Negative,HaCat,L,H,A,48,1.4772258440378687
174,CuO,I,None,1.3917230663455145,2.995732273553991,Negative,HaCat,L,H,A,48,1.403109554142898
176,Au,I,None,1.224127540701542,0.0,unknown,NHDF,L,H,A,24,1.5241222232228893
177,Au,I,None,1.224127540701542,1.6094379124341003,unknown,NHDF,L,H,A,24,1.4830751216075155
178,Au,I,None,1.224127540701542,2.302585092994046,unknown,NHDF,L,H,A,24,1.4714784045800144
179,Au,I,None,1.224127540701542,2.70805020110221,unknown,NHDF,L,H,A,24,1.4419877769178442
181,Au,I,None,1.3640546328884455,0.0,unknown,NHDF,L,H,A,24,1.5246824203768765
182,Au,I,None,1.3640546328884455,1.6094379124341003,unknown,NHDF,L,H,A,24,1.489291900842996
183,Au,I,None,1.3640546328884455,2.302585092994046,unknown,NHDF,L,H,A,24,1.4788103864120221
184,Au,I,None,1.3640546328884455,2.70805020110221,unknown,NHDF,L,H,A,24,1.442424682871317
186,Au,I,None,1.5040351003996315,0.0,unknown,NHDF,L,H,A,24,1.5263721855271066
187,Au,I,None,1.5040351003996315,1.6094379124341003,unknown,NHDF,L,H,A,24,1.50612924934429
188,Au,I,None,1.5040351003996315,2.302585092994046,unknown,NHDF,L,H,A,24,1.4981098718758832
189,Au,I,None,1.5040351003996315,2.70805020110221,unknown,NHDF,L,H,A,24,1.4561701939807934
191,Au,I,None,1.224127540701542,0.0,unknown,NHDF,L,H,A,48,1.5198684467602999
192,Au,I,None,1.224127540701542,1.6094379124341003,unknown,NHDF,L,H,A,48,1.4791697880995422
193,Au,I,None,1.224127540701542,2.302585092994046,unknown,NHDF,L,H,A,48,1.4695979651484392
194,Au,I,None,1.224127540701542,2.70805020110221,unknown,NHDF,L,H,A,48,1.437566509570994
196,Au,I,None,1.3640546328884455,0.0,unknown,NHDF,L,H,A,48,1.5215816459227514
197,Au,I,None,1.3640546328884455,1.6094379124341003,unknown,NHDF,L,H,A,48,1.486209695471988
198,Au,I,None,1.3640546328884455,2.302585092994046,unknown,NHDF,L,H,A,48,1.4695979651484392
199,Au,I,None,1.3640546328884455,2.70805020110221,unknown,NHDF,L,H,A,48,1.4411109594223657
201,Au,I,None,1.5040351003996315,0.0,unknown,NHDF,L,H,A,48,1.5252913495990423
202,Au,I,None,1.5040351003996315,1.6094379124341003,unknown,NHDF,L,H,A,48,1.4936428336924215
203,Au,I,None,1.5040351003996315,2.302585092994046,unknown,NHDF,L,H,A,48,1.4816272284353187
204,Au,I,None,1.5040351003996315,2.70805020110221,unknown,NHDF,L,H,A,48,1.4505544310033873
206,Au,I,None,1.224127540701542,0.0,unknown,NHDF,L,H,A,72,1.5187156418500147
207,Au,I,None,1.224127540701542,1.6094379124341003,unknown,NHDF,L,H,A,72,1.4791697880995422
208,Au,I,None,1.224127540701542,2.302585092994046,unknown,NHDF,L,H,A,72,1.4599112665171416
209,Au,I,None,1.224127540701542,2.70805020110221,unknown,NHDF,L,H,A,72,1.4311991014781338
211,Au,I,None,1.3640546328884455,0.0,unknown,NHDF,L,H,A,72,1.5198684467602999
212,Au,I,None,1.3640546328884455,1.6094379124341003,unknown,NHDF,L,H,A,72,1.4844733096074831
213,Au,I,None,1.3640546328884455,2.302585092994046,unknown,NHDF,L,H,A,72,1.4688404610824255
214,Au,I,None,1.3640546328884455,2.70805020110221,unknown,NHDF,L,H,A,72,1.4330409862737925
216,Au,I,None,1.5040351003996315,0.0,unknown,NHDF,L,H,A,72,1.5222815621672425
217,Au,I,None,1.5040351003996315,1.6094379124341003,unknown,NHDF,L,H,A,72,1.4910393556713488
218,Au,I,None,1.5040351003996315,2.302585092994046,unknown,NHDF,L,H,A,72,1.4816272284353187
219,Au,I,None,1.5040351003996315,2.70805020110221,unknown,NHDF,L,H,A,72,1.4409551978777815
221,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,AGS,L,H,A,24,1.4762806526450323
222,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,AGS,L,H,A,24,1.4793421669507734
223,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,AGS,L,H,A,24,1.484335890404038
224,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,AGS,L,H,A,24,1.4833489726345528
225,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,AGS,L,H,A,24,1.4497922795850413
226,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,AGS,L,H,A,24,1.500368633948265
227,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,AGS,L,H,A,24,1.501719089920306
228,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,AGS,L,H,A,24,1.4925285703800706
229,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,AGS,L,H,A,24,1.4731678997230608
230,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,AGS,L,H,A,24,1.357540693939927
236,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HeLa,L,H,A,24,1.5244686939058323
237,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HeLa,L,H,A,24,1.4930013200670214
238,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HeLa,L,H,A,24,1.4371113038625476
239,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HeLa,L,H,A,24,1.490665158057228
240,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HeLa,L,H,A,24,1.4873438484245236
241,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HeLa,L,H,A,24,1.4676623415037153
242,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HeLa,L,H,A,24,1.4131764869170655
249,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HepG2,L,H,A,24,1.4513791168822578
250,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HepG2,L,H,A,24,1.4251563592285814
251,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HepG2,L,H,A,24,1.3674665307681628
252,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HepG2,L,H,A,24,1.346095666449449
253,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HepG2,L,H,A,24,1.2833699022144647
254,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HepG2,L,H,A,24,1.4117845255906118
255,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HepG2,L,H,A,24,1.4087540308302602
264,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HT29,L,H,A,24,1.521373155707707
265,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HT29,L,H,A,24,1.5174935147685729
266,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HT29,L,H,A,24,1.5130802300069908
267,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HT29,L,H,A,24,1.510832422939118
268,Au,I,Chitosan,0.7716454773187585,3.9999051108297707,Positive,HT29,L,H,A,24,1.464789604268077
269,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HT29,L,H,A,24,1.525589560693597
270,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HT29,L,H,A,24,1.5183624218888725
271,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HT29,L,H,A,24,1.5039165382223687
272,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HT29,L,H,A,24,1.484607881333077
273,Au,I,Chitosan,1.524994838195378,3.9999051108297707,Positive,HT29,L,H,A,24,1.3582204555870205
279,Au,I,Chitosan,1.2691483887884287,3.9999051108297707,Positive,HepG2,L,H,A,24,1.5118569769102668
280,Au,I,Chitosan,1.2691483887884287,3.9999051108297707,Positive,HepG2,L,H,A,24,1.459876790867163
284,Au,I,None,1.1690321758870559,0.9162907318741551,unknown,A549,L,H,A,4,1.520053837518018
285,Au,I,None,1.1690321758870559,1.6094379124341003,unknown,A549,L,H,A,4,1.4446622894954095
290,Iron oxide,I,Silica,0.834032445247956,1.6094379124341003,Negative,SHSY5Y,L,H,A,3,1.5266402863556616
291,Iron oxide,I,Silica,0.834032445247956,3.2188758248682006,Negative,SHSY5Y,L,H,A,3,1.5255588854657118
292,Iron oxide,I,Silica,0.834032445247956,4.31748811353631,Negative,SHSY5Y,L,H,A,3,1.5217227435631029
293,Iron oxide,I,Silica,0.834032445247956,4.605170185988092,Negative,SHSY5Y,L,H,A,3,1.5233762509629574
294,Iron oxide,I,Silica,0.834032445247956,5.0106352940962555,Negative,SHSY5Y,L,H,A,3,1.525016818882074
295,Iron oxide,I,Silica,0.834032445247956,5.1647859739235145,Negative,SHSY5Y,L,H,A,3,1.5233762509629574
296,Iron oxide,I,Silica,0.834032445247956,5.298317366548036,Negative,SHSY5Y,L,H,A,3,1.5194925563095145
297,Iron oxide,I,Silica,0.834032445247956,5.703782474656201,Negative,SHSY5Y,L,H,A,3,1.521166668456488
298,Iron oxide,I,OleicAcid,0.8707755705025861,1.6094379124341003,Negative,SHSY5Y,L,H,A,3,1.5203699163432791
299,Iron oxide,I,OleicAcid,0.8707755705025861,2.302585092994046,Negative,SHSY5Y,L,H,A,3,1.5223105731122446
300,Iron oxide,I,OleicAcid,0.8707755705025861,3.912023005428146,Negative,SHSY5Y,L,H,A,3,1.5117055571627374
301,Iron oxide,I,OleicAcid,0.8707755705025861,4.31748811353631,Negative,SHSY5Y,L,H,A,3,1.5150867982675886
302,Iron oxide,I,OleicAcid,0.8707755705025861,4.605170185988092,Negative,SHSY5Y,L,H,A,3,1.5190636243609783
