,Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,"Cell age: embryonic (E), Adult (A)",Exposure time (h),% Cell viability
41,CuO,I,,239,3.68E-06,,HCMEC,P,H,A,12,-32.67822
42,CuO,I,,239,3.68E-11,,HCMEC,P,H,A,24,43.374195
43,CuO,I,,239,3.68E-10,,HCMEC,P,H,A,24,41.47016
44,CuO,I,,239,3.68E-09,,HCMEC,P,H,A,24,45.19597
45,CuO,I,,239,3.68E-08,,HCMEC,P,H,A,24,30.16451
46,CuO,I,,239,1.84E-07,,HCMEC,P,H,A,24,11.39032
47,CuO,I,,239,3.68E-07,,HCMEC,P,H,A,24,5.73629
48,CuO,I,,239,7.36E-07,,HCMEC,P,H,A,24,-1.79274
49,CuO,I,,239,1.84E-06,,HCMEC,P,H,A,24,-16.81935
50,CuO,I,,239,3.68E-06,,HCMEC,P,H,A,24,-37.47339
51,CuO,I,,33,0.001,,SH­SY5Y,L,H,A,48,34.999928
52,CuO,I,,33,0.1,,SH­SY5Y,L,H,A,48,32.006794
53,CuO,I,,33,1,,SH­SY5Y,L,H,A,48,37.407795
54,CuO,I,,33,10,,SH­SY5Y,L,H,A,48,41.71446
55,CuO,I,,33,100,,SH­SY5Y,L,H,A,48,-1.4239597
56,CuO,I,,33,0.001,,H4,L,H,A,48,71.82643
57,CuO,I,,33,0.1,,H4,L,H,A,48,59.056118
58,CuO,I,,33,1,,H4,L,H,A,48,68.19899
59,CuO,I,,33,10,,H4,L,H,A,48,38.425575
60,CuO,I,,33,100,,H4,L,H,A,48,-0.036262684
61,CuO,I,,33,0.001,,SH­SY5Y,L,H,A,48,97.65237
62,CuO,I,,33,0.1,,SH­SY5Y,L,H,A,48,98.91648
63,CuO,I,,33,1,,SH­SY5Y,L,H,A,48,97.65237
64,CuO,I,,33,10,,SH­SY5Y,L,H,A,48,89.75169
65,CuO,I,,33,100,,SH­SY5Y,L,H,A,48,41.083523
66,CuO,I,,33,0.001,,H4,L,H,A,48,98.284424
67,CuO,I,,33,0.1,,H4,L,H,A,48,98.60045
68,CuO,I,,33,1,,H4,L,H,A,48,97.33634
69,CuO,I,,33,10,,H4,L,H,A,48,90.06772
70,CuO,I,,33,100,,H4,L,H,A,48,60.6772
319,Iron oxide,I,Dextran,30,2.24E-06,,Monocytes,P,H,A,24,96.25
320,Iron oxide,I,Dextran,30,2.24E-06,,Monocytes,P,H,A,48,103.541664
321,Iron oxide,I,Dextran,30,2.24E-06,,Monocytes,P,H,A,72,90.416664
322,Iron oxide,I,Dextran,30,2.24E-05,,Monocytes,P,H,A,24,95.520836
323,Iron oxide,I,Dextran,30,2.24E-05,,Monocytes,P,H,A,48,102.8125
324,Iron oxide,I,Dextran,30,2.24E-05,,Monocytes,P,H,A,72,91.145836
325,Iron oxide,I,Dextran,30,0.0002241587953,,Monocytes,P,H,A,24,97.708336
326,Iron oxide,I,Dextran,30,0.0002241587953,,Monocytes,P,H,A,48,103.541664
327,Iron oxide,I,Dextran,30,0.0002241587953,,Monocytes,P,H,A,72,96.25
328,Iron oxide,I,Dextran,30,0.002241587953,,Monocytes,P,H,A,24,96.25
329,Iron oxide,I,Dextran,30,0.002241587953,,Monocytes,P,H,A,48,104.270836
330,Iron oxide,I,Dextran,30,0.002241587953,,Monocytes,P,H,A,72,94.791664
331,Iron oxide,I,Dextran,30,0.02241587953,,Monocytes,P,H,A,24,99.166664
332,Iron oxide,I,Dextran,30,0.02241587953,,Monocytes,P,H,A,48,107.1875
333,Iron oxide,I,Dextran,30,0.02241587953,,Monocytes,P,H,A,72,99.895836
334,Iron oxide,I,Dextran,30,0.2241587953,,Monocytes,P,H,A,24,74.375
335,Iron oxide,I,Dextran,30,0.2241587953,,Monocytes,P,H,A,48,74.375
336,Iron oxide,I,Dextran,30,0.2241587953,,Monocytes,P,H,A,72,86.041664
337,Iron oxide,I,Dextran,30,2.24E-06,,Monocytes,P,H,A,72,92.61745
338,Iron oxide,I,Dextran,30,2.24E-05,,Monocytes,P,H,A,72,93.42282
339,Iron oxide,I,Dextran,30,0.0002241587953,,Monocytes,P,H,A,72,90.20134
340,Iron oxide,I,Dextran,30,0.002241587953,,Monocytes,P,H,A,72,93.42282
341,Iron oxide,I,Dextran,30,0.02241587953,,Monocytes,P,H,A,72,87.78523
342,Iron oxide,I,Dextran,30,0.2241587953,,Monocytes,P,H,A,72,49.127518
343,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,P,H,A,24,93.12741
344,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,P,H,A,48,91.73745
345,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,P,H,A,72,95.90733
346,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,P,H,A,96,95.444016
347,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,L,H,A,168,93.59074
348,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,L,H,A,216,94.054054
349,Iron oxide,I,Dextran,30,0.008966351814,,Monocytes,L,H,A,336,82.47104
350,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,89.08297
351,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,117.90393
352,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,136.24454
353,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,124.89083
354,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,119.65066
355,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,112.66376
356,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,157.20525
357,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,169.43231
358,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,179.0393
359,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,144.1048
360,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,138.86462
361,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,119.65066
362,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,68.12227
363,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,48.9083
364,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,26.200872
365,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,62.00873
366,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,41.9214
367,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,32.31441
368,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,23.580786
369,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,14.847161
370,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,72,146.7742
371,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,72,129.83871
372,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,72,125
373,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,72,104.83871
374,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,72,100
375,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,72,104.83871
376,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,72,102.41936
377,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,72,99.19355
378,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,72,96.77419
379,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,72,100
380,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,72,131.45161
381,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,72,115.32258
382,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,72,106.451614
383,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,72,85.48387
384,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,72,58.064518
385,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,24,82.850784
386,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,24,67.31019
387,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,24,56.04981
388,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,24,42.64823
389,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,24,39.943905
390,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,60.188145
391,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,40.906464
392,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,31.248158
393,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,22.661545
394,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,13.54236
395,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,120,42.340473
396,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,120,32.684353
397,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,120,24.09774
398,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,120,20.32609
399,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,120,10.665605
400,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,168,38.93333
401,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,168,27.670767
402,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,168,19.618906
403,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,168,14.238631
404,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,168,0.8414183
405,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,24,98.2479
406,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,24,98.80087
407,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,24,81.53774
408,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,24,90.13358
409,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,24,82.64213
410,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,72,96.38087
411,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,72,84.86487
412,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,72,76.22088
413,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,72,75.62442
414,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,72,67.556694
415,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,120,92.78658
416,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,120,82.42156
417,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,120,77.225845
418,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,120,62.261574
419,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,120,63.3877
420,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,168,74.254425
421,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,168,68.484
422,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,168,59.84001
423,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,168,46.02516
424,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,168,39.68158
425,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,1,88.389831
426,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,1,88.389831
427,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,1,88.389831
428,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,1,88.389831
429,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,1,87.118644
430,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,4,75.254238
431,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,4,76.949152
432,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,4,78.220339
433,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,4,77.79661
434,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,4,75.677965
435,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,24,66.77966
436,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,24,65.932205
437,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,24,65.932205
438,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,24,64.23729
439,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,24,57.457626
440,Iron oxide,I,PEI,145.8,3.05E-07,17.7,SH­SY5Y,L,H,A,72,53.64407
441,Iron oxide,I,PEI,145.8,6.10E-07,17.7,SH­SY5Y,L,H,A,72,48.559322
442,Iron oxide,I,PEI,145.8,1.22E-06,17.7,SH­SY5Y,L,H,A,72,49.74576
443,Iron oxide,I,PEI,145.8,2.44E-06,17.7,SH­SY5Y,L,H,A,72,49.83051
444,Iron oxide,I,PEI,145.8,4.88E-06,17.7,SH­SY5Y,L,H,A,72,47.288136
445,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,1,95.4700856
446,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,1,95.042735
447,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,1,95.042735
448,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,1,94.188034
449,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,1,94.188034
450,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,4,93.7606835
451,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,4,95.042735
452,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,4,95.4700856
453,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,4,95.042735
454,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,4,94.188034
455,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,24,93.7606835
456,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,24,94.188034
457,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,24,94.188034
458,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,24,94.188034
459,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,24,94.6153846
460,Iron oxide,I,PEI,145.8,3.05E-07,17.7,RAW 264.7,L,A,A,72,93.7606835
461,Iron oxide,I,PEI,145.8,6.10E-07,17.7,RAW 264.7,L,A,A,72,93.7606835
462,Iron oxide,I,PEI,145.8,1.22E-06,17.7,RAW 264.7,L,A,A,72,93.7606835
463,Iron oxide,I,PEI,145.8,2.44E-06,17.7,RAW 264.7,L,A,A,72,92.4786325
464,Iron oxide,I,PEI,145.8,4.88E-06,17.7,RAW 264.7,L,A,A,72,92.4786325
465,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,72,95.91124
466,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,72,101.437775
467,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,72,114.38183
468,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,72,162.86815
469,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,72,163.80347
470,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,72,240.88625
471,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,72,248.2997
472,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,72,323.37766
473,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,72,401.9854
474,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,72,404.8117
475,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,72,103.43855
476,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,72,88.25786
477,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,72,63.54501
478,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,72,21.650686
479,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,72,24.476988
480,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,72,100.04899
481,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,93.75041
482,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,85.119865
483,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,100.39683
484,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,129.36508
485,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,72,104.809265
486,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,110.41544
487,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,115.27696
488,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,108.333336
489,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,107.93651
490,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,72,96.080734
491,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,86.60592
492,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,75.59442
493,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,73.4127
494,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,73.809525
495,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,24,95.480225
496,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,24,64.40678
497,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,24,57.062145
498,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,24,56.497173
499,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,24,55.932205
500,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,72,61.01695
501,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,72,37.288136
502,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,72,23.728813
503,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,72,13.559322
504,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,72,2.8248587
505,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,120,56.497173
506,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,120,33.898304
507,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,120,17.514124
508,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,120,10.169492
509,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,120,3.9548023
510,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,168,38.41808
511,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,168,28.248587
512,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,168,14.124293
513,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,168,0
514,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,168,0
515,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,24,100.568184
516,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,24,84.09091
517,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,24,83.52273
518,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,24,79.545456
519,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,24,55.68182
520,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,72,98.86364
521,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,86.36364
522,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,82.954544
523,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,60.795456
524,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,55.113636
525,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,120,92.61364
526,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,120,75.568184
527,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,120,74.431816
528,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,120,53.409092
529,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,120,43.75
530,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,168,69.88636
531,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,168,61.93182
532,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,168,55.113636
533,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,168,50.56818
534,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,168,32.954544
535,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,1,92.11166
536,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,1,92.1278825
537,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,1,92.141609
